"prioridad","score","empresa","segmento","subtipo_rubro","localidad","direccion_detectada","provincia","amba_confirmado","tamano_validado","contactos_en_base","con_email","con_telefono","tiene_decisor","cargos_conocidos","fuente_principal","estado_enriquecimiento","apollo_org_id","dominio","empleados","decisor_nombre","decisor_cargo","decisor_email","en_secuencia","notas"
"A1","9","Chisap SCA","Industrial_Otros","FRIGORIFICOS","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Distribuidor","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","9","Loitegui sa","Industrial_Otros","","ciudad autonoma de buenos aires","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe Mantenimiento","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","8","Brogas S.c.a","Industrial_Otros","CALEFACCION, GENERADORES DE AIRE CALIENTE","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Vicepresidente","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","8","Ferrosider","Industrial_Otros","CHAPAS DE HIERRO","CAPITAL FEDERAL","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","2","3","SI","Gerente de Recursos Humanos | Gerente","LINKEDIN_EK","PENDIENTE","","","","","","","NO",""
"A1","8","IDS Boiler","Industrial_Otros","","Capital Federal","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","3","0","SI","Certificarte y Habilitante de Artefactos Térmicos | Ing | Asesor Técnico","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","8","Norma S.c.a","Industrial_Otros","GALLETITAS Y BIZCOCHOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Titular","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","8","PIMIACI SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","SI","Jefe Comercial | Gte de Ingenieria","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","8","Potigian Golosinas S.a.c.i.f.i","Industrial_Otros","GOLOSINAS EN GENERAL","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Supervisor de Ventas","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","8","Provemet","Industrial_Otros","Industria_Metal","Lomas del Mirador","","Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Ventas","ACERBRAG_PROVEEDORES","PENDIENTE","","","","","","","NO",""
"A1","8","Saniobras","Construccion_Ingenieria","","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","4","2","SI","Coordinador de Obras | Jefe de Obra | Jefe de Instalaciones","WEBINARs_v1","PENDIENTE","","","","","","","NO",""
"A1","8","SANITARIOS COINTER SA","Industrial_Otros","PART/COM","","SAN BLAS 4050 PB LOC","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","6","0","6","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","8","SANITARIOS DITRAR SRL","Industrial_Otros","SANITARIOS","","AV THOMAS IGNACIO ALVAREZ 3599 PB LCAL","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","0","3","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","8","Telexistemas","Industrial_Otros","COMPUTACION, SUMINISTROS E INSUMOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","6","4","2","SI","Presidente","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","8","The Frog","Industrial_Otros","GRUPOS ELECTROGENOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Jefe Produccion Grafica","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","3 M Argentina SACIFIA","Industrial_Otros","AEROSOLES, LLENADO","","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Abba Osvaldo a y Grunewald Cristian S H","Industrial_Otros","COMERCIO EXTERIOR","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Ausenco SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Ingeniero Junior en Ambiente y Remediacion","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Cafe Max S H","Industrial_Otros","CAFE, MAQUINAS PARA CREMA-CAFE","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","CINTOLO HERMANOS METALURGICA","Industrial_Otros","MetalÃºrgicas y siderÃºrgicas","ITUZAINGO","","Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","SI","Gerente","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","CONINSA SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","3","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","CONSORCIOS SRL","Industrial_Otros","Adm de Consorcios","Moron","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","Constructora el Ombu S a","Industrial_Otros","","Salta - Capital","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","SI","Ingeniero","CONTACTO COMERCIAL.xlsx (2006)","PENDIENTE","","","","","","","NO",""
"A1","7","Corven SACIF","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Gerente de Unidad de Negocios Energía Renovable","LINKEDIN_EK","PENDIENTE","","","","","","","NO",""
"A1","7","COSNTRUMEX SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Arquiecto","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Eas Tel Saic","Industrial_Otros","","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","EMILIO F. PEREZ Y ASOC. SRL","Industrial_Otros","Adm de Consorcios","Capital Federal","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","Equipamientos Sh","Industrial_Otros","ESTUDIO DE ARQUITECTURA","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Arquitecto","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Facya Saic","Industrial_Otros","CONFECCIONES, CAMISAS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Gasmil srl","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe de Obra","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Grumo Plac","Industrial_Otros","INDUSTRIALES E IMPORTADORES","","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Ingeniero","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Guivel - Sh","Industrial_Otros","CONFECCIONES, GUARDAPOLVOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Impsat1","Industrial_Otros","Est. Ingenieria / Arq.","CABA","","Ciudad Autónoma de Buenos Aires, Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","SI","Area de Prensa","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","Indicom","Industrial_Otros","TELECOMUNICACIONES","","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Supervisor","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Industrias Montefiore Saic","Industrial_Otros","Industria_Metal","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","ACERBRAG_PROVEEDORES","PENDIENTE","","","","","","","NO",""
"A1","7","Isikawa Electronica","Industrial_Otros","IMPORTADOR","","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Vicepresidente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Koexa Electronica","Industrial_Otros","TRANSFORMADORES","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","SI","Rep Comercial","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Macronet","Industrial_Otros","Industria_Metal","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Back Office Manager de Gerencia Comercial","ACERBRAG_PROVEEDORES","PENDIENTE","","","","","","","NO",""
"A1","7","MELISAM SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe de Ventas Corporativa","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Messer S a","Industrial_Otros","GAS INDUSTRIAL","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Minera Alumbrera","Industrial_Otros","Minero","CAPITAL FEDERAL","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","SI","Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","MONTAMRA SRL","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe de Obra","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Nortecnica","Industrial_Otros","EMPRESARIOS Y EJECUTIVOS","","BILLINGHURST 2277 PB LOC","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Socio Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Papelera Orlando Saci","Industrial_Otros","GRAFICA","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Directora","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Pelikan Argentina","Industrial_Otros","INDUSTRIALES E IMPORTADORES","CAPITAL FEDERAL","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","SI","Jefe de Producto | Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Persiantex","Industrial_Otros","CALZADO ARTICULOS PARA","","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Merketing","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","PROA SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","4","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A1","7","Propiental SRL","Industrial_Otros","","Rosario","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Supervisor","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Protfund SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Presidente","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Rasso Alberto y Oscar S H","Industrial_Otros","ESTACION DE SERVICIO YPF","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Roberto y Gustavo Estevez S H","Industrial_Otros","CALCOMANIAS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
